title,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Before and After,1996,22,19,6,18,2
Best of the Best 3: No Turning Back,1996,9,7,11,5,2
Big Bully,1996,1,15,6,18,2
Big Night,1996,10,21,20,22,37
Bio-Dome,1996,19,13,5,22,2
The Birdcage,1996,12,22,20,5,2
Black Sheep,1996,22,4,20,18,36
Blood and Wine,1996,17,4,16,6,21
Bloodsport II: The Next Kumite,1996,17,1,12,14,0
Bottle Rocket,1996,18,10,19,18,2
Bound,1996,13,18,6,18,37
Boys,1996,1,15,16,18,2
The Boys Next Door,1996,7,3,12,13,34
Brassed Off,1996,8,8,6,6,30
Breaking the Waves,1996,21,5,21,18,2
Broken Arrow,1996,2,13,2,20,2
Bullet,1996,17,9,6,18,20
Bulletproof,1996,20,2,16,18,2
Busted,1996,20,2,3,18,2
Butch Camp,1996,10,17,18,18,32
The Cable Guy,1996,0,17,21,18,37
Cannes Man,1996,11,12,17,19,18
Cannibal! The Musical,1996,19,13,11,18,37
Carnosaur 3: Primal Species,1996,2,20,21,18,2
Carpool,1996,22,19,3,15,40
Carried Away,1996,7,0,1,5,33
Celtic Pride,1996,7,3,22,20,2
Chain Reaction,1996,16,4,6,18,2
The Chamber,1996,4,11,11,18,33
The Cherokee Kid,1996,21,5,21,19,32
Children of the Corn IV: The Gathering,1996,6,4,16,22,17
Christmas Every Day,1996,7,3,19,18,38
Citizen Ruth,1996,13,18,16,13,2
City Hall,1996,16,20,17,18,0
Courage Under Fire,1996,0,10,1,18,2
The Craft,1996,10,17,6,18,37
Crossworlds,1996,7,21,12,10,2
The Crow: City of Angels,1996,5,6,13,7,6
The Crucible,1996,0,4,11,18,2
Curdled,1996,18,17,16,18,29
D3: The Mighty Ducks,1996,1,15,6,18,2
Dallas: J.R. Returns,1996,14,3,6,18,23
Daylight,1996,9,7,6,18,25
The Daytrippers,1996,12,22,6,14,23
Deadly Outbreak,1996,6,20,11,18,2
Dear God,1996,9,7,20,1,36
Demolition High,1996,9,7,11,14,2
The Dentist,1996,18,10,6,18,2
Diabolique,1996,1,15,11,11,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,16,11,12,20,16
Dorf on the Diamond,1996,22,19,2,0,9
Down Periscope,1996,2,4,9,5,2
Dragonheart,1996,6,20,13,18,2
Dunston Checks In,1996,19,3,0,5,2
Ed,1996,8,8,13,10,37
Eddie,1996,8,8,6,18,2
Emma,1996,21,5,6,18,2
The Empty Mirror,1996,11,12,10,7,33
The English Patient,1996,21,5,6,18,18
Eraser,1996,6,20,16,11,2
Escape from L.A.,1996,2,13,6,18,2
The Evening Star,1996,21,5,1,18,2
Everyone Says I Love You,1996,12,22,20,21,15
Evita,1996,11,12,19,8,2
Executive Decision,1996,16,20,6,18,2
Extreme Measures,1996,16,14,8,18,12
Eye for an Eye,1996,5,6,6,18,2
The Face,1996,21,0,6,18,2
Faithful,1996,5,6,8,19,10
A Family Thing,1996,4,11,20,18,2
The Fan,1996,14,16,8,18,2
Fargo,1996,22,19,4,3,15
Fear,1996,18,3,6,18,2
Feeling Minnesota,1996,13,18,4,16,23
Fever Lake,1996,9,7,22,13,2
First Kid,1996,18,15,6,18,16
The First Wives Club,1996,10,3,20,18,2
Fled,1996,17,1,13,20,26
Flipper,1996,7,21,1,7,36
Flirting with Disaster,1996,10,3,6,18,16
Fly Away Home,1996,0,3,13,18,12
Foxfire,1996,1,15,16,18,16
Freeway,1996,16,10,17,18,2
Frequent Flyer,1996,0,3,6,18,2
The Frighteners,1996,6,4,17,18,25
From Dusk Till Dawn,1996,6,4,20,18,2
The Funeral,1996,5,6,21,15,40
Generation X,1996,1,15,6,6,44
Get on the Bus,1996,9,14,1,5,2
Getting Away with Murder,1996,5,6,9,19,2
The Ghost and the Darkness,1996,6,20,2,9,2
Ghosts of Mississippi,1996,5,6,16,16,15
Girl 6,1996,10,17,6,18,2
The Glimmer Man,1996,3,14,18,5,10
Gotti,1996,11,12,10,16,13
Grace of My Heart,1996,15,9,6,18,16
The Great White Hype,1996,17,1,6,18,2
Hamlet,1996,11,8,12,6,11
Happy Gilmore,1996,18,10,6,18,2
Hard Eight,1996,13,18,11,4,25
Harriet the Spy,1996,0,17,6,18,2
Heaven's Prisoners,1996,16,21,21,4,23
Hellraiser: Bloodline,1996,6,20,11,7,2
High School High,1996,1,15,5,22,33
Hollow Point,1996,7,21,6,6,18
Homeward Bound II: Lost in San Francisco,1996,0,17,21,9,36
House Arrest,1996,18,3,21,6,2
The Hunchback of Notre Dame,1996,19,13,20,18,25
"I Love You, I Love You Not",1996,21,5,22,22,41
I Shot Andy Warhol,1996,11,12,18,17,10
I'm Not Rappaport,1996,8,8,3,22,2
If Lucy Fell,1996,21,3,19,17,29
If These Walls Could Talk,1996,12,21,7,18,40
In Cold Blood,1996,12,22,9,5,10
In Love and War,1996,10,17,11,18,2
Independence Day,1996,2,13,6,18,2
Infinity,1996,11,12,21,9,3
Irma Vep,1996,11,12,7,0,18
The Island of Dr. Moreau,1996,16,13,21,18,11
It's My Party,1996,12,22,20,18,2
Jack,1996,1,15,4,18,2
Jake's Women,1996,0,17,1,18,32
James and the Giant Peach,1996,19,13,16,18,16
Jane Eyre,1996,21,5,17,18,37
Jerry Maguire,1996,10,17,11,11,2
Jingle All the Way,1996,3,14,6,5,2
Joe's Apartment,1996,10,21,16,18,2
Johns,1996,13,18,21,10,22
The Juror,1996,5,6,11,16,7
Kama Sutra: A Tale of Love,1996,10,0,6,5,2
Kansas City,1996,7,8,13,6,29
Kazaam,1996,4,11,21,18,2
Killer: A Journal of Murder,1996,5,6,16,6,35
Kingpin,1996,12,22,21,18,18
Kounterfeit,1996,13,18,6,11,2
The Land Before Time IV: Journey Through the Mists,1996,0,17,18,18,2
Larger Than Life,1996,4,3,21,18,2
Last Dance,1996,5,6,21,2,23
The Last Days of Frankie the Fly,1996,1,3,21,0,34
Last Man Standing,1996,16,20,5,5,2
The Late Shift,1996,10,17,20,16,2
The Lawnmower Man 2: Beyond Cyberspace,1996,9,7,20,18,7
Lewis and Clark and George,1996,8,8,11,22,36
Listen,1996,7,21,13,9,2
Little Witches,1996,15,9,12,18,2
Loch Ness,1996,19,17,17,18,0
Lone Star,1996,5,6,16,9,2
The Long Kiss Goodnight,1996,2,4,6,5,2
Love Is All There Is,1996,21,5,10,9,30
Magenta,1996,4,11,16,0,25
The Man Who Captured Eichmann,1996,7,12,1,18,29
Mars Attacks!,1996,6,4,18,18,2
Marvin's Room,1996,12,22,10,13,2
Mary Reilly,1996,20,2,10,7,25
Matilda,1996,1,11,6,18,2
Maximum Risk,1996,7,21,6,6,44
Memory Run,1996,7,21,9,5,10
Merlin's Shop of Mystical Wonders,1996,7,21,20,5,18
Michael,1996,18,10,20,17,7
Michael Collins,1996,2,13,16,6,33
The Mirror Has Two Faces,1996,21,5,6,21,0
Mission: Impossible,1996,16,20,6,18,2
Mojave Moon,1996,22,19,17,15,13
Moll Flanders,1996,15,9,6,5,2
Mother,1996,15,9,6,18,14
Mother Night,1996,19,13,18,5,2
A Mother's Instinct,1996,14,16,6,2,44
Mr. Wrong,1996,0,17,6,18,2
Mrs. Winterbourne,1996,0,3,6,11,2
Mulholland Falls,1996,11,12,11,18,2
Multiplicity,1996,0,17,8,18,2
Muppet Treasure Island,1996,19,13,21,18,16
My Fellow Americans,1996,18,10,13,5,2
Mystery Science Theater 3000: The Movie,1996,11,12,5,10,37
The Nutty Professor,1996,10,17,16,4,2
One Fine Day,1996,10,3,1,5,33
Original Gangstas,1996,14,16,6,18,2
"Our Son, the Matchmaker",1996,14,16,20,18,2
The Pallbearer,1996,0,3,6,6,2
Pandora's Clock,1996,3,14,18,4,18
The People vs. Larry Flynt,1996,7,21,20,18,2
The Phantom,1996,4,11,11,18,2
Phat Beach,1996,8,8,9,22,9
Phenomenon,1996,10,17,6,18,29
Pinocchio's Revenge,1996,16,10,6,12,2
Poison Ivy II: Lily,1996,0,17,6,18,2
The Pompatus of Love,1996,11,3,6,18,13
The Portrait of a Lady,1996,14,16,1,11,2
The Preacher's Wife,1996,12,22,11,18,2
Primal Fear,1996,5,6,16,18,2
Public Enemies,1996,14,16,18,20,37
The Quest,1996,17,1,8,18,2
Race the Sun,1996,22,19,21,18,27
Ransom,1996,16,16,16,5,2
Rasputin: Dark Servant of Destiny,1996,12,22,13,5,2
The Rich Man's Wife,1996,20,2,21,4,25
Riders of the Purple Sage,1996,21,5,16,18,2
The Rock,1996,6,20,2,2,28
Romeo + Juliet,1996,4,11,6,5,40
Sabrina the Teenage Witch,1996,1,15,8,5,16
Samson and Delilah,1996,21,5,3,20,2
Santa Claws,1996,5,6,17,18,3
Santa with Muscles,1996,20,2,4,18,42
Scream,1996,5,6,18,0,2
Set It Off,1996,20,2,6,5,2
Sgt. Bilko,1996,7,21,8,18,32
She Cried No,1996,0,17,18,18,2
She's the One,1996,0,17,6,18,37
Shiloh,1996,17,17,3,1,18
Silent Trigger,1996,22,19,21,9,2
Skin & Bone,1996,3,14,6,18,32
Sleepers,1996,5,3,1,18,2
Sling Blade,1996,6,20,20,18,2
Snowboard Academy,1996,8,8,6,13,20
Solo,1996,6,20,21,13,2
Sometimes They Come Back... Again,1996,5,3,8,7,25
Space Jam,1996,8,8,22,18,2
Space Truckers,1996,6,3,13,5,2
The Spitfire Grill,1996,14,16,7,18,32
Spy Hard,1996,21,21,16,13,17
Star Trek: First Contact,1996,19,13,6,18,37
Stealing Beauty,1996,0,17,6,6,2
Striptease,1996,5,6,6,18,38
The Stupids,1996,12,22,6,16,2
The Substitute,1996,1,15,10,13,2
The Sunchaser,1996,8,8,7,13,0
Sunset Park,1996,1,15,2,18,3
Surviving Picasso,1996,8,8,14,18,2
Susie Q,1996,4,11,21,18,26
Swingers,1996,10,17,21,19,18
Talk to Me,1996,7,3,4,20,14
That Thing You Do!,1996,8,3,16,18,2
A Thin Line Between Love and Hate,1996,21,5,11,18,13
Thinner,1996,16,4,14,5,2
A Time to Kill,1996,16,3,16,18,2
Tin Cup,1996,8,8,18,4,2
Titanic,1996,12,22,21,17,21
To Brave Alaska,1996,0,17,21,18,2
To Gillian on Her 37th Birthday,1996,21,3,21,15,2
"To Sir, with Love II",1996,1,15,6,6,2
Toad Warrior,1996,8,8,8,4,29
The Toilers and the Wayfarers,1996,7,13,6,11,2
Tornado!,1996,1,15,16,22,39
Trees Lounge,1996,0,17,17,18,15
Tremors 2: Aftershocks,1996,6,20,21,18,2
The Trigger Effect,1996,18,10,17,7,10
Trilogy of Terror II,1996,16,16,17,18,2
Tromeo and Juliet,1996,14,11,6,5,2
The Truth About Cats & Dogs,1996,10,17,8,15,18
Twisted Desire,1996,5,6,6,18,2
Twister,1996,18,10,16,18,25
Two Much,1996,0,17,17,18,2
Unforgettable,1996,16,2,6,5,2
Unhook the Stars,1996,18,10,14,8,2
Unlikely Angel,1996,12,22,6,18,2
Up Close & Personal,1996,7,21,18,14,7
A Very Brady Sequel,1996,10,3,18,9,2
Walking and Talking,1996,17,3,6,18,2
The War at Home,1996,4,11,13,10,2
The Watermelon Woman,1996,0,3,17,13,2
Werewolf,1996,6,4,6,18,32
White Squall,1996,17,3,6,1,18
The Whole Wide World,1996,1,15,5,7,31
William Shakespeare's Romeo + Juliet,1996,4,11,4,5,2
Windsor Protocol,1996,7,21,9,9,20
The Winner,1996,13,18,15,6,2
Wish Upon a Star,1996,1,15,6,18,2
Zarkorr! The Invader,1996,19,13,8,18,2
…First Do No Harm,1997,14,16,6,18,2
12 Angry Men,1997,5,6,16,18,2
8 Heads in a Duffel Bag,1997,7,4,21,5,2
Aberration,1997,16,18,11,18,2
Absolute Power,1997,16,4,6,18,2
Addicted to Love,1997,7,3,20,2,18
Afterglow,1997,0,3,6,18,18
Against the Law,1997,16,20,21,19,11
Air Force One,1997,2,4,16,18,2
Albino Alligator,1997,16,14,11,5,2
Alien Resurrection,1997,6,20,8,18,2
Alien Nation: The Udara Legacy,1997,7,21,15,22,4
All Over Me,1997,0,17,4,18,11
American Perfekt,1997,7,21,20,21,2
An Alan Smithee Film: Burn Hollywood Burn,1997,11,12,15,20,31
An American Werewolf in Paris,1997,6,20,21,18,2
Amistad,1997,7,21,16,2,2
Anaconda,1997,6,4,1,0,25
Anastasia,1997,19,13,12,5,2
Angels in the Endzone,1997,4,3,20,18,28
Anna Karenina,1997,14,16,13,2,2
The Apostle,1997,10,2,14,20,2
As Good as It Gets,1997,10,0,6,11,16
The Assignment,1997,6,20,6,18,2
Asteroid,1997,19,16,5,18,10
Austin Powers: International Man of Mystery,1997,19,13,8,18,2
B*A*P*S,1997,13,18,11,18,37
Bang,1997,8,8,1,6,32
Batman and Robin,1997,6,20,13,18,2
Bean,1997,12,22,10,18,12
The Beautician and the Beast,1997,0,17,21,18,2
Beauty and the Beast: The Enchanted Christmas,1997,0,17,21,12,22
Below Utopia,1997,12,22,11,14,0
Best Men,1997,14,3,20,21,32
A Better Place,1997,16,17,11,16,2
Beverly Hills Ninja,1997,19,13,17,18,2
Bloodsport III,1997,17,1,6,4,2
Bongwater,1997,18,3,9,18,22
Boogie Nights,1997,13,18,21,11,2
Booty Call,1997,10,0,12,18,14
The Boxer,1997,14,0,21,17,32
The Brave,1997,11,12,10,9,40
Breakdown,1997,2,4,16,11,2
Breast Men,1997,8,8,17,18,2
Broadway Damage,1997,10,3,12,10,25
Buddy,1997,14,22,0,18,20
The Butcher Boy,1997,15,9,6,7,31
Campfire Tales,1997,16,14,11,0,16
Cannibal Rollerbabes,1997,19,13,5,13,2
Casper: A Spirited Beginning,1997,19,13,17,18,16
Cats Don't Dance,1997,11,12,21,18,2
Chasing Amy,1997,10,0,9,0,2
Chinese Box,1997,7,5,12,18,2
City of Industry,1997,13,18,6,18,7
Clockwatchers,1997,10,17,22,18,15
Common Bonds,1997,3,14,14,19,42
Con Air,1997,2,20,13,18,2
Conspiracy Theory,1997,2,13,20,5,2
Contact,1997,4,11,13,18,2
Cop Land,1997,16,10,16,18,2
Coven,1997,9,7,3,20,36
Crayola Kids Adventures,1997,2,13,16,18,18
Crossed Swords,1997,17,4,13,5,2
Crowned and Dangerous,1997,5,6,16,2,13
Danger Zone,1997,2,4,2,18,45
Dangerous Ground,1997,13,18,6,18,2
Dante's Peak,1997,19,17,11,0,2
Deconstructing Harry,1997,0,3,6,5,2
Def Jam's How to Be a Player,1997,10,17,2,4,14
Defying Gravity,1997,18,10,18,18,32
Demolition University,1997,2,13,11,14,2
Detective Conan: The Time-Bombed Skyscraper,1997,0,3,2,7,38
The Devil's Advocate,1997,0,3,11,18,2
Dogtown,1997,7,21,21,14,21
Donnie Brasco,1997,6,20,1,20,2
Double Team,1997,14,16,8,18,2
Dream with the Fishes,1997,7,21,9,19,18
The Edge,1997,6,4,21,18,2
Eight Days a Week,1997,21,5,6,15,17
Elevated,1997,19,13,18,18,2
Elvis Meets Nixon,1997,0,17,10,15,18
Ernest Goes to Africa,1997,0,17,8,18,2
Eve's Bayou,1997,4,11,1,5,2
Event Horizon,1997,2,13,6,18,37
The Ex,1997,12,22,14,14,33
Excess Baggage,1997,22,19,19,19,22
Face/Off,1997,6,20,6,8,2
FairyTale: A True Story,1997,18,11,6,18,2
Fathers' Day,1997,4,11,20,18,29
Fierce Creatures,1997,20,2,17,18,2
The Fifth Element,1997,2,20,6,0,2
Fire Down Below,1997,16,20,21,18,2
Firelight,1997,4,11,16,18,37
First Time Felon,1997,7,21,9,5,7
Flash,1997,4,11,20,18,2
Flubber,1997,19,3,11,18,2
Flying Saucer Rock'n'Roll,1997,21,5,14,12,19
Free Willy 3: The Rescue,1997,19,11,9,18,18
Fools Rush In,1997,12,22,9,18,30
For Richer or Poorer,1997,0,3,6,18,2
Future War,1997,2,13,8,18,10
G.I. Jane,1997,19,21,16,2,2
The Game,1997,2,13,16,18,29
Gang Related,1997,5,6,10,5,2
Gattaca,1997,19,13,6,18,44
George Wallace,1997,7,21,4,1,8
George of the Jungle,1997,19,13,21,18,2
Geri's Game,1997,8,8,17,18,2
Ghosts,1997,0,17,14,18,7
Going All the Way,1997,21,5,14,2,10
Gone Fishin',1997,22,19,12,18,2
Good Burger,1997,22,19,6,2,17
Good Will Hunting,1997,10,0,20,18,2
Goodbye America,1997,14,0,18,20,37
Gridlock'd,1997,20,2,3,18,34
Grosse Pointe Blank,1997,1,15,17,18,25
Hacks,1997,9,7,0,22,18
Hard Eight,1997,13,18,11,4,25
Henry Fool,1997,7,21,13,22,0
Hercules,1997,19,16,6,18,2
Highball,1997,11,12,8,5,17
Hitler,1997,4,11,20,11,11
Home Alone 3,1997,22,19,10,18,7
"Honey, We Shrunk Ourselves",1997,19,17,10,18,20
Hoodlum,1997,0,17,17,18,2
The House of Yes,1997,12,22,13,18,18
Hugo Pool,1997,21,5,0,7,37
Hurricane Streets,1997,20,4,11,17,2
I Know What You Did Last Summer,1997,16,4,19,18,2
I Married a Strange Person!,1997,19,13,2,22,38
I'm Bout It,1997,11,12,4,6,7
The Ice Storm,1997,10,3,3,18,2
In & Out,1997,12,3,6,18,29
In the Company of Men,1997,0,17,21,22,2
In the Gloaming,1997,15,9,0,1,15
The Informant,1997,11,12,8,0,17
Intensity,1997,20,2,14,7,2
Inventing the Abbotts,1997,12,22,6,18,19
It's In the Water,1997,18,10,17,18,2
The Jackal,1997,16,20,6,16,2
Jackie Brown,1997,13,18,5,18,2
Jungle 2 Jungle,1997,10,16,7,5,2
Jungle Emperor Leo,1997,19,11,18,18,18
Just Write,1997,0,3,6,18,17
Justice League of America,1997,19,13,13,0,2
Keeping the Promise,1997,12,22,6,18,18
Keys to Tulsa,1997,10,3,5,13,0
Kiss the Girls,1997,19,2,18,18,32
Knockin' On Heaven's Door,1997,13,18,13,18,32
Kull the Conqueror,1997,19,13,6,5,2
Kundun,1997,11,12,18,5,2
L.A. Confidential,1997,16,20,6,5,2
The Land Before Time V: The Mysterious Island,1997,19,11,1,18,2
Last Stand at Saber River,1997,4,11,1,0,2
The Last Time I Committed Suicide,1997,0,17,18,8,36
Lawn Dogs,1997,4,11,4,7,37
Leave It to Beaver,1997,0,17,20,18,2
Leprechaun 4: In Space,1997,6,20,7,5,18
Lewis and Clark and George,1997,8,8,11,22,36
Liar Liar,1997,0,17,9,18,2
A Life Less Ordinary,1997,13,18,6,5,2
Little City,1997,0,3,6,18,2
Little Red Riding Hood,1997,11,12,11,18,35
Lolita,1997,18,10,20,4,2
Lost Highway,1997,3,14,14,18,32
The Lost World: Jurassic Park,1997,2,4,22,18,2
Love and Death on Long Island,1997,0,17,21,20,2
Mad City,1997,20,2,18,5,21
The Man Who Knew Too Little,1997,19,3,6,5,2
The MatchMaker,1997,12,22,19,8,2
McHale's Navy,1997,19,4,6,18,2
Mean Guns,1997,6,20,20,18,2
Meet Wally Sparks,1997,7,3,1,5,32
The Member of the Wedding,1997,4,11,12,7,20
Men in Black,1997,19,13,8,5,2
Metro,1997,22,19,18,5,2
The Midas Touch,1997,13,18,3,7,19
Mimic,1997,6,20,19,18,2
Miss Evers' Boys,1997,0,17,19,18,2
Money Talks,1997,20,2,21,5,2
Mortal Kombat: Annihilation,1997,17,1,6,18,2
Most Wanted,1997,3,14,16,20,32
MouseHunt,1997,18,10,19,18,2
Mrs Dalloway,1997,7,21,13,3,12
Murder at 1600,1997,18,10,16,18,22
My Best Friend's Wedding,1997,0,17,6,5,2
My Teacher Ate My Homework,1997,1,15,21,10,33
The Myth of Fingerprints,1997,14,22,6,10,33
Nevada,1997,8,8,21,11,42
Night Falls on Manhattan,1997,20,2,16,18,2
The Night Flier,1997,5,6,19,18,16
Night of the Demons 3,1997,20,2,17,18,2
Northern Lights,1997,7,3,7,8,14
Nothing to Lose,1997,13,18,6,18,18
Nowhere,1997,18,17,16,7,25
The Odyssey,1997,0,16,6,18,29
Office Killer,1997,5,6,17,18,30
Oliver Twist,1997,0,17,20,16,18
Omega Doom,1997,19,21,16,13,10
On the 2nd Day of Christmas,1997,12,22,6,13,2
On the Edge of Innocence,1997,4,3,4,18,37
One Eight Seven,1997,1,15,11,5,2
One Night Stand,1997,10,17,8,9,4
Orgazmo,1997,11,12,10,0,18
Oscar and Lucinda,1997,13,18,7,18,2
Out to Sea,1997,21,5,6,18,2
The Peacemaker,1997,6,20,16,5,2
Perfect Body,1997,10,17,9,18,32
Picture Perfect,1997,17,1,16,6,18
Playing God,1997,8,8,16,9,18
Poison Ivy: The New Seduction,1997,0,17,17,18,2
Pooh's Grand Adventure: The Search for Christopher Robin,1997,9,3,13,18,17
The Postman,1997,2,13,16,0,2
Preaching to the Perverted,1997,8,8,6,5,12
Prefontaine,1997,7,21,9,18,3
Private Parts,1997,10,17,20,18,2
Pullet Surprise,1997,0,17,20,18,32
Quicksilver Highway,1997,3,14,8,0,9
Quiet Days in Hollywood,1997,22,19,21,17,2
The Rainmaker,1997,2,16,13,13,32
Red Corner,1997,7,21,11,18,2
The Relic,1997,20,2,13,18,2
A River Made to Drown In,1997,7,21,21,0,37
Robinson Crusoe,1997,19,13,22,5,36
RocketMan,1997,0,17,1,5,2
Romy and Michele's High School Reunion,1997,1,15,6,18,2
Rosewood,1997,16,13,22,16,16
Rough Riders,1997,7,21,7,9,15
Running Time,1997,7,21,16,18,20
The Saint,1997,19,13,19,5,2
Saint-Ex,1997,12,22,18,12,3
Scream 2,1997,5,6,11,18,37
The Second Jungle Book: Mowgli & Baloo,1997,19,13,8,20,10
Selena,1997,8,8,17,18,2
Seven Years in Tibet,1997,14,16,4,8,2
Shadow Conspiracy,1997,5,6,6,16,36
She's So Lovely,1997,15,9,4,20,5
Shrieker,1997,5,7,19,7,8
A Simple Wish,1997,0,17,6,18,32
Six Ways to Sunday,1997,15,9,6,18,2
The 6th Man,1997,0,17,20,18,2
A Smile Like Yours,1997,7,3,12,4,34
Snow White: A Tale of Terror,1997,6,13,17,18,32
Soul Food,1997,12,22,6,18,2
Space Marines,1997,6,20,21,5,38
The Spanish Prisoner,1997,10,17,21,18,2
Spawn,1997,2,13,11,11,18
Speed 2: Cruise Control,1997,19,13,6,13,2
Sprung,1997,10,0,19,18,42
Star Kid,1997,1,15,13,0,2
Starship Troopers,1997,1,15,11,5,2
Steel,1997,19,4,15,7,37
Strategic Command,1997,7,21,17,5,17
Strawberry Fields,1997,11,12,16,14,33
Suicide Kings,1997,13,4,11,18,2
The Swan Princess II: Escape from Castle Mountain,1997,19,13,21,5,2
Swept from the Sea,1997,21,5,6,18,18
Switchback,1997,22,19,6,18,16
Telling Lies in America,1997,1,21,19,15,6
That Darn Cat,1997,19,21,16,22,7
That Old Feeling,1997,21,3,21,4,44
"This World, Then the Fireworks",1997,7,2,3,14,42
A Thousand Acres,1997,14,0,13,18,2
'Til There Was You,1997,4,0,14,0,2
Titanic,1997,0,3,6,18,2
Top of the World,1997,20,2,11,16,32
Touch,1997,3,5,6,22,37
Toothless,1997,1,15,6,18,24
Tower of Terror,1997,19,4,1,18,2
Trial and Error,1997,19,3,15,6,2
Trojan War,1997,1,3,8,4,21
"Truth or Consequences, N.M.",1997,9,21,18,16,28
Turbo: A Power Rangers Movie,1997,2,4,8,5,33
Turbulence,1997,16,20,1,18,2
The Twilight of the Golds,1997,14,22,11,8,24
U Turn,1997,13,19,6,18,2
Under Wraps,1997,3,14,16,18,38
Vegas Vacation,1997,12,22,11,12,2
Velocity Trap,1997,13,18,11,5,18
Volcano,1997,19,13,11,5,2
Wag the Dog,1997,2,13,8,16,2
Waiting for Guffman,1997,8,11,20,18,2
Warriors of Virtue,1997,19,13,17,16,23
Washington Square,1997,4,11,17,18,2
Weapons of Mass Distraction,1997,7,8,10,16,37
Welcome to Sarajevo,1997,15,9,16,4,2
What the Deaf Man Heard,1997,15,9,1,12,37
Wild America,1997,11,12,6,18,18
The Wings of the Dove,1997,0,17,21,6,2
The Winter Guest,1997,11,3,6,21,10
Wishmaster,1997,6,20,21,5,32
The Woodlanders,1997,4,11,13,18,2
Zeus and Roxanne,1997,19,3,9,18,2
54,1998,3,14,6,22,41
Addams Family Reunion,1998,12,22,14,7,16
The Adventures of Sebastian Cole,1998,15,9,22,16,2
Almost Heroes,1998,9,7,21,18,21
Ambushed,1998,20,2,8,0,41
American History X,1998,1,15,10,18,2
An Alan Smithee Film: Burn Hollywood Burn,1998,11,12,15,20,31
Another Day in Paradise,1998,7,3,11,13,0
Antz,1998,6,20,18,5,2
Apt Pupil,1998,1,15,17,4,2
Armageddon,1998,19,13,6,2,2
The Avengers,1998,4,11,21,12,2
B. Monkey,1998,7,21,11,5,27
Babe: Pig in the City,1998,0,17,21,18,2
BASEketball,1998,8,8,21,18,2
Belly,1998,16,20,17,18,2
Beloved,1998,18,10,21,5,2
The Big Hit,1998,10,0,13,18,2
The Big Lebowski,1998,13,18,6,18,2
Billy's Hollywood Screen Kiss,1998,11,3,21,18,34
Black Dog,1998,19,13,11,18,23
Blade,1998,2,13,16,0,17
Blues Brothers 2000,1998,20,2,19,18,28
Break Up,1998,20,2,17,19,38
Bride of Chucky,1998,20,4,17,18,2
Broken Vessels,1998,3,14,2,6,16
Brown's Requiem,1998,20,2,22,20,6
Buffalo '66,1998,3,14,9,5,45
A Bug's Life,1998,19,13,22,9,11
Bulworth,1998,18,21,10,18,29
Can't Hardly Wait,1998,1,15,11,18,2
Casper Meets Wendy,1998,19,13,1,5,16
Caught Up,1998,16,4,6,5,25
Celebrity,1998,7,3,15,22,16
Chairman of the Board,1998,19,21,3,11,40
City of Angels,1998,7,21,17,18,2
A Civil Action,1998,10,21,20,18,2
Clay Pigeons,1998,20,14,2,6,9
Cousin Bette,1998,12,22,10,5,2
Curse of the Puppet Master,1998,18,10,18,18,2
The Curve,1998,1,15,10,3,3
Dance with Me,1998,0,17,2,5,2
"Dancer, Texas Pop. 81",1998,1,15,18,17,13
Dangerous Beauty,1998,15,9,20,18,2
Dark City,1998,5,6,6,12,2
Dead Man on Campus,1998,4,11,6,18,18
Deep Impact,1998,12,22,6,18,2
Deep Rising,1998,9,7,6,13,18
Dennis the Menace Strikes Again,1998,18,10,6,18,2
The Dentist 2,1998,19,13,17,18,2
Desert Blue,1998,4,11,18,19,17
Desperate Measures,1998,20,2,6,18,2
Digging to China,1998,15,9,6,14,18
Dirty Work,1998,19,10,13,1,2
Disturbing Behavior,1998,1,15,6,18,2
Dr. Dolittle,1998,4,21,6,18,2
Down in the Delta,1998,12,22,9,18,42
Drive,1998,7,21,0,12,34
Edge of Seventeen,1998,0,17,21,18,2
Enemy of the State,1998,5,4,13,5,18
Ever After,1998,0,3,17,5,2
The Faculty,1998,1,15,16,18,2
Fallen,1998,16,6,6,18,2
Fear and Loathing in Las Vegas,1998,19,13,13,18,2
Firestorm,1998,6,4,7,18,18
The Gingerbread Man,1998,4,11,14,18,2
Gods and Monsters,1998,14,16,17,5,2
Godzilla,1998,2,13,6,18,18
Great Expectations,1998,0,17,1,18,2
The Hairy Bird,1998,1,15,6,18,2
Half Baked,1998,20,2,13,18,2
Halloween H20: 20 Years Later,1998,16,4,22,0,2
Happiness,1998,10,17,16,18,2
Hard Rain,1998,16,4,20,18,2
He Got Game,1998,4,11,1,18,26
Hell's Kitchen,1998,6,20,3,16,20
The Hi-Lo Country,1998,21,5,13,18,26
Holy Man,1998,10,14,20,11,7
Home Fries,1998,2,9,6,4,2
Homegrown,1998,20,2,9,11,7
Hope Floats,1998,4,11,13,12,2
The Horse Whisperer,1998,21,5,20,13,2
How Stella Got Her Groove Back,1998,15,9,12,3,39
Hush,1998,4,11,20,18,2
I Got the Hook Up,1998,11,12,6,16,5
I Still Know What You Did Last Summer,1998,6,4,17,18,26
I'll Be Home For Christmas,1998,22,3,6,18,32
